baseline,seconds,delta_optimism_mwh,mean_span_error_mwh,max_span_error_mwh,omitted_throughput_mwh,native_throughput_mwh,omitted_throughput_pct
-0.25,1,0.0,0.0,0.0,0.0,199.5251802687667,0.0
-0.25,60,0.027818030203817807,3.580629364998149e-05,0.002081788494300532,0.44929464592384616,199.5251802687667,0.22518192707237863
-0.25,300,0.14008593022278515,0.00022732341498452193,0.013255022420335827,2.2625562613504773,199.5251802687667,1.133970288012141
-0.25,900,0.31261202921062325,0.0006847944106645449,0.04874633400845258,5.049060265621386,199.5251802687667,2.5305378793895303
0.0,1,0.0,0.0,0.0,0.0,55.38994578085413,0.0
0.0,60,0.002941809449643125,4.353397944598781e-06,0.0008854486045013835,0.047513760870823304,55.38994578085413,0.08578047911223398
0.0,300,0.04041670240553201,7.704590658509674e-05,0.012118730346720286,0.6527783550037299,55.38994578085413,1.178514161372165
0.0,900,0.17354280612622905,0.00042937705638779465,0.03774416313951534,2.8029250473998606,55.38994578085413,5.060349866543304
0.25,1,0.0,0.0,0.0,0.0,196.71173147787815,0.0
0.25,60,0.026224144504364215,2.5775261815285695e-05,0.0015917713753314452,0.42355147479455757,196.71173147787815,0.21531581853936832
0.25,300,0.13849072501950857,0.00020457632900874247,0.011579093864305539,2.2367917786472766,196.71173147787815,1.1370911952441547
0.25,900,0.35072480836873327,0.0007576782778954159,0.03285950381170063,5.6646274890986925,196.71173147787815,2.879659208193044
