source,capacity_mwh,supply_mw,variant,deficit_mwh,request_mwh,hydrogen_energy_mwh,deficit_pct
Belgium,2.0,0.025,fast_feedback,135.94667993511294,1088.483630651736,369.13973971357314,12.489547486691562
Belgium,2.0,0.025,high_signal,192.71432321472028,1286.2592394335215,407.6596519743286,14.982541412071267
Belgium,2.0,0.025,low_signal,85.34298838321506,878.1139475773552,308.26438389426545,9.718896803617502
Belgium,2.0,0.025,reference,134.13428691196773,1088.483630651736,362.40393820426436,12.32304125985377
Belgium,2.0,0.025,slow_feedback,142.11800355785175,1088.483630651736,331.8407751535212,13.05651270775269
Belgium,2.0,0.05,fast_feedback,102.95066136514747,1088.483630651736,459.77274346659584,9.458172678582695
Belgium,2.0,0.05,high_signal,157.2132350694956,1286.2592394335215,493.7453294434907,12.22251551240429
Belgium,2.0,0.05,low_signal,57.26575555173284,878.1139475773552,405.0967094048952,6.521449261764306
Belgium,2.0,0.05,reference,103.17210358876949,1088.483630651736,454.17901132445377,9.47851678090874
Belgium,2.0,0.05,slow_feedback,115.88925249092496,1088.483630651736,426.8383371454177,10.646853037333743
Belgium,2.0,0.1,fast_feedback,56.603607833531456,1088.483630651736,661.9758777122672,5.200225914250977
Belgium,2.0,0.1,high_signal,105.96799728698409,1286.2592394335215,687.7798046998869,8.238463447979056
Belgium,2.0,0.1,low_signal,24.562272893236646,878.1139475773552,623.9520088035692,2.7971623683921605
Belgium,2.0,0.1,reference,58.68651235629184,1088.483630651736,658.2547165793819,5.391584283279754
Belgium,2.0,0.1,slow_feedback,78.97539798409578,1088.483630651736,637.6902251052743,7.255543010491467
Belgium,2.0,0.2,fast_feedback,22.09161109898825,1088.483630651736,1132.5064835198739,2.0295767870905665
Belgium,2.0,0.2,high_signal,57.587360962420846,1286.2592394335215,1137.9371203043247,4.477119323767327
Belgium,2.0,0.2,low_signal,7.430112759785122,878.1139475773552,1113.5398220634515,0.8461444873167312
Belgium,2.0,0.2,reference,25.479355217822313,1088.483630651736,1128.317661506332,2.34081197919039
Belgium,2.0,0.2,slow_feedback,51.1447829159026,1088.483630651736,1113.0683734296788,4.698718609601816
Belgium,4.0,0.025,fast_feedback,83.4095057577684,1088.483630651736,329.78252036234693,7.662908601374784
Belgium,4.0,0.025,high_signal,116.60642819632409,1286.2592394335215,371.51589611477743,9.065546401647499
Belgium,4.0,0.025,low_signal,51.29683939330153,878.1139475773552,279.12406589705756,5.841706481809716
Belgium,4.0,0.025,reference,82.62857052475394,1088.483630651736,327.545433230388,7.591163357714402
Belgium,4.0,0.025,slow_feedback,80.39131462934753,1088.483630651736,320.2269440148812,7.385624585021344
Belgium,4.0,0.05,fast_feedback,57.0238307474689,1088.483630651736,429.2117833511943,5.238832182834532
Belgium,4.0,0.05,high_signal,87.21492067696002,1286.2592394335215,467.1912432735877,6.780508781058019
Belgium,4.0,0.05,low_signal,29.929849399344693,878.1139475773552,384.12819443736385,3.408424326013578
Belgium,4.0,0.05,reference,56.742971315643565,1088.483630651736,427.3146828461413,5.213029366520503
Belgium,4.0,0.05,slow_feedback,55.600999146475885,1088.483630651736,421.1844899150816,5.108115324911636
Belgium,4.0,0.1,fast_feedback,24.933660316274725,1088.483630651736,649.9138821236277,2.2906784828124196
Belgium,4.0,0.1,high_signal,46.70649209337147,1286.2592394335215,677.8503566977024,3.6311880732488553
Belgium,4.0,0.1,low_signal,7.9486443250995436,878.1139475773552,615.5300575693689,0.9051950885223045
Belgium,4.0,0.1,reference,25.230155772150887,1088.483630651736,648.2780245279199,2.3179177951481167
Belgium,4.0,0.1,slow_feedback,25.73212736011013,1088.483630651736,643.5399019461547,2.3640343901821352
Belgium,4.0,0.2,fast_feedback,4.4141325966907745,1088.483630651736,1137.8162910744895,0.4055304528601672
Belgium,4.0,0.2,high_signal,13.574819741324864,1286.2592394335215,1150.3439570453743,1.055371990742964
Belgium,4.0,0.2,low_signal,0.36938297677420956,878.1139475773552,1115.9520699998952,0.04206549477927176
Belgium,4.0,0.2,reference,4.881758414997136,1088.483630651736,1135.2650563361788,0.4484916702030837
Belgium,4.0,0.2,slow_feedback,7.087622100051508,1088.483630651736,1130.966374974319,0.6511464114354897
Belgium,8.0,0.025,fast_feedback,49.97719689507094,1088.483630651736,297.26193297305974,4.591451399700591
