day,capacity,model,pred,actual,native_loss_mwh,predicted_loss_mwh,baseline_charge_mwh,hydrogen_mwh,reserve_request_mwh,maximum_state_error_mwh,fallback_quarters
2025-01-01,0.25,native,0.1456937532639745,0.1456937532639745,0.35749999376347025,0.35749999376347025,0.0767343779126283,11.923265622087376,1.945745733020641,0.0,0
2025-01-02,0.25,native,0.15565690212958175,0.15565690212958175,0.4142027861770042,0.4142027861770042,-0.7796495755583814,12.77964957555838,1.901941451622388,0.0,0
2025-01-03,0.25,native,0.008164067931771815,0.008164067931771815,1.1266216730631917,1.1266216730631917,-0.7824977608723568,12.782497760872355,3.5610394474375986,0.0,0
2025-01-04,0.25,native,0.13051419765472058,0.13051419765472058,3.669641621582316e-13,3.669641621582316e-13,0.16058889576642657,11.839411104233578,0.6697716521064773,0.0,0
2025-01-05,0.25,native,0.12491257253452989,0.12491257253452989,0.5388331689819534,0.5388331689819534,0.13331829407031712,11.86668170592968,2.4591739349391877,0.0,0
2025-01-06,0.25,native,0.14226057874350817,0.14226057874350817,0.06213065428926312,0.06213065428926312,-0.5180629104010306,12.51806291040103,1.7014321477196377,0.0,0
2025-01-07,0.25,native,0.09510996862764708,0.09510996862764708,0.11744913841020069,0.11744913841020069,0.7369341454326459,11.263065854567353,1.9235568626447777,0.0,0
2025-01-01,0.25,minute,0.14576003005515709,0.14452456459235458,0.35714784232483726,0.35710230439229484,0.07524136241408194,11.924758637585917,1.945745733020641,0.0012354654628025097,0
2025-01-02,0.25,minute,0.15570797557438676,0.15529754597514528,0.4125655437111109,0.4144982275984224,-0.7809405788453356,12.780940578845339,1.901941451622388,0.0015931923752793564,0
2025-01-03,0.25,minute,0.008178678893561053,0.0081744548469149,1.1263778275356415,1.1258510746269799,-0.7836814959872798,12.783681495987281,3.5610394474375986,0.0010042288725056747,0
2025-01-04,0.25,minute,0.1305238683989733,0.12962909406869555,3.967022406593744e-13,6.2787699290650374e-15,0.15965942220256205,11.840340577797436,0.6697716521064773,0.0008947743302816225,0
2025-01-05,0.25,minute,0.12494628779139319,0.12488061988529807,0.5384421804666575,0.5373768200866929,0.13180019082806674,11.868199809171935,2.4591739349391877,0.0009631902691768536,0
2025-01-06,0.25,minute,0.1423425921401105,0.14005953669453455,0.061971503168224154,0.0620592848560528,-0.5204140387534785,12.520414038753474,1.7014321477196377,0.0022830554455759433,0
2025-01-07,0.25,minute,0.09518727471876623,0.09462547436052682,0.12010279330545957,0.11647051773877196,0.7358491248160782,11.26415087518392,1.9235568626447777,0.002883538765477013,0
2025-01-01,0.25,5minute,0.1459362199680138,0.14077402611042367,0.3585871725230297,0.3538066205824082,0.07322447784581768,11.926775522154179,1.945745733020641,0.005162193857590119,0
2025-01-02,0.25,5minute,0.15589296877512485,0.15375638054226998,0.404758863220905,0.41144821093335315,-0.7890133852839443,12.789013385283944,1.901941451622388,0.006810149163952645,0
2025-01-03,0.25,5minute,0.00817867889356105,0.0081744548469149,1.1263942716204274,1.1213390908271748,-0.788071982101267,12.788071982101268,3.5610394474375986,0.006195362950361577,0
2025-01-04,0.25,5minute,0.1305375083500185,0.12793335036898051,3.8768490464439086e-13,1.2443038226664595e-15,0.15792409594162432,11.84207590405838,0.6697716521064773,0.0026041579810379967,0
2025-01-05,0.25,5minute,0.12495000238192876,0.12525426185455765,0.5372639669355042,0.5330902241117126,0.12962922152351491,11.87037077847649,2.4591739349391877,0.00293477714521434,0
2025-01-06,0.25,5minute,0.14261222429543546,0.1268871919910968,0.06201492479447424,0.05670565407676858,-0.5327464211246737,12.532746421124676,1.7014321477196377,0.015725032304338665,0
2025-01-07,0.25,5minute,0.09538015104962423,0.09301713576914741,0.1329715926094567,0.11123546557644653,0.7337815750413077,11.266218424958685,1.9235568626447777,0.01800473331931795,0
2025-01-01,0.25,quarter,0.1463395057132641,0.13416734437461902,0.35499101576781217,0.3546779750654465,0.06321357803416716,11.93678642196583,1.945745733020641,0.012172161338645071,0
2025-01-02,0.25,quarter,0.15623278454181866,0.16423459251175584,0.38784514217954924,0.3836462670929954,-0.7992304154027817,12.799230415402777,1.901941451622388,0.01685462326425996,0
2025-01-03,0.25,quarter,0.005092221112087552,0.009234695472036604,1.1410482294771527,1.1023621435897595,-0.812520343254101,12.8125203432541,3.5610394474375986,0.021893691661328735,0
2025-01-04,0.25,quarter,0.13059747429786225,0.12848758136705657,4.395986872431206e-13,4.434115834922592e-16,0.15739102850135975,11.842608971498644,0.6697716521064773,0.004142474359948786,0
2025-01-05,0.25,quarter,0.12506706776233312,0.12497873731379787,0.5248925151709005,0.5184823683090285,0.10731115619638018,11.892688843803624,2.4591739349391877,0.02175227177507505,0
2025-01-06,0.25,quarter,0.14310299781814392,0.0780571279553577,0.06009305657364332,0.02480917783751156,-0.5817846456917538,12.581784645691757,1.7014321477196377,0.06504586986278622,0
2025-01-07,0.25,quarter,0.09587533710811817,0.09050951970577092,0.17554009767607506,0.0976408189691261,0.7351584629309693,11.264841537069026,1.9235568626447777,0.06834947856058592,0
2025-01-01,0.25,gross,0.14569375337178508,0.14538097952430265,0.36057526177334703,0.0,0.07998777208022535,11.920012227919777,1.945745733020641,0.0031321662482875767,0
2025-01-02,0.25,gross,0.15565654774851195,0.16819519819961945,0.4034668794128743,0.0,-0.7872809675633283,12.787280967563326,1.901941451622388,0.013594458623624073,0
2025-01-03,0.25,gross,0.004479295653360986,0.009234695472036604,1.1355760082789057,0.0,-0.7961326867089105,12.796132686708914,3.5610394474375986,0.01253865045110339,0
2025-01-04,0.25,gross,0.13051419765471445,0.13526959747336842,4.72032846474498e-13,0.0,0.1644188759579952,11.835581124042008,0.6697716521064773,0.0047553998186803115,0
2025-01-05,0.25,gross,0.12485070930688624,0.12561882080219977,0.5266344861688189,0.0,0.12103026683796493,11.87896973316203,2.4591739349391877,0.02065273327771061,0
2025-01-06,0.25,gross,0.14226057876874773,0.10841637346658625,0.0626277429431429,0.0,-0.5491465597292651,12.549146559729266,1.7014321477196377,0.033844205302163116,0
2025-01-07,0.25,gross,0.0951098980825734,0.09554649162969428,0.13667366056697844,0.0,0.751086466839502,11.248913533160497,1.9235568626447777,0.03384420530216389,0
2025-01-01,0.25,envelope,0.14569375326397518,0.14569375326398065,0.3574999937634665,0.35749999376346825,0.07673437791262805,11.923265622087376,1.945745733020641,1.27675647831893e-14,10
2025-01-02,0.25,envelope,0.15565690212958105,0.1556569021295737,0.4142027861769908,0.4142027861768659,-0.7796495755583824,12.779649575558379,1.901941451622388,2.4980018054066022e-14,9
2025-01-03,0.25,envelope,0.008164067931771815,0.008164067931771815,1.1266216730631704,1.1266216730630838,-0.7824977608723679,12.782497760872364,3.5610394474375986,2.7949864644938316e-14,24
2025-01-04,0.25,envelope,0.13051419765472208,0.1305141976547419,3.649460273383124e-13,0.0,0.16058889576646823,11.839411104233534,0.6697716521064773,3.211320098728265e-14,0
2025-01-05,0.25,envelope,0.12491257253452828,0.12491257253453214,0.538833168981971,0.5388331689818262,0.13331829407031393,11.866681705929684,2.4591739349391877,1.9095836023552692e-14,15
2025-01-06,0.25,envelope,0.14226057874351047,0.14226057874350354,0.062130654289270795,0.06213065428880817,-0.5180629104010293,12.518062910401033,1.7014321477196377,1.6736612096224235e-14,4
2025-01-07,0.25,envelope,0.09510996862764728,0.0951099686276395,0.11744913841018702,0.11744913840997144,0.7369341454326427,11.26306585456735,1.9235568626447777,1.1962653090336062e-14,10
2025-01-01,1.0,native,0.5206937715701155,0.5206937715701155,1.7787842883477033e-12,1.7787842883477033e-12,0.3130392228272111,11.686960777172791,1.945745733020641,0.0,0
2025-01-02,1.0,native,0.5306556877670952,0.5306556877670952,2.253282509238336e-12,2.253282509238336e-12,-1.0629676534110994,13.062967653411102,1.901941451622388,0.0,0
2025-01-03,1.0,native,0.2699266144020999,0.2699266144020999,1.8969545698620695e-12,1.8969545698620695e-12,-0.747557884507062,12.747557884507058,3.5610394474375986,0.0,0
2025-01-04,1.0,native,0.5055141976545084,0.5055141976545084,1.4931815438074973e-12,1.4931815438074973e-12,0.2783142136183633,11.721685786381634,0.6697716521064773,0.0,0
2025-01-05,1.0,native,0.4988442032283821,0.4988442032283821,1.6610240226278215e-12,1.6610240226278215e-12,-0.1502337426699682,12.150233742669965,2.4591739349391877,0.0,0
2025-01-06,1.0,native,0.5172605787750455,0.5172605787750455,2.0857639636346148e-12,2.0857639636346148e-12,-0.5643645780349504,12.564364578034953,1.7014321477196377,0.0,0
2025-01-07,1.0,native,0.4701068219721085,0.4701068219721085,1.5671541960934217e-12,1.5671541960934217e-12,0.8644813716599707,11.135518628340026,1.9235568626447777,0.0,0
2025-01-01,1.0,minute,0.5207600483272651,0.5192692263174862,1.7011985908430616e-12,2.8616799188192877e-14,0.3116110672830291,11.688388932716963,1.945745733020641,0.0014908220097789027,0
2025-01-02,1.0,minute,0.5307067729534765,0.5272745823140467,2.1303129829412995e-12,3.639999543100806e-14,-1.064871629152706,13.0648716291527,1.901941451622388,0.0034321906394297885,0
2025-01-03,1.0,minute,0.2701028398353965,0.26475493527917215,1.8986418947486236e-12,3.2114034919453604e-14,-0.7493198287703525,12.749319828770352,3.5610394474375986,0.005347904556224359,0
2025-01-04,1.0,minute,0.5055238683987398,0.4992574935727277,1.4035246071943104e-12,2.457857723545459e-14,0.2771865366755795,11.722813463324414,0.6697716521064773,0.0062663748260120555,0
