day,baseline,seconds,blocks,delta_optimism_mwh,span_underestimate_mean_mwh,span_underestimate_max_mwh,native_throughput_mwh,omitted_throughput_mwh
2025-01-01,-0.25,1,96,0.0,0.0,0.0,6.426978538053525,0.0
2025-01-01,-0.25,60,96,0.0010775556382968416,3.1259411181756456e-05,0.000912267451356169,6.426978538053525,0.01740381958798584
2025-01-01,-0.25,300,96,0.004034594036361586,0.00013211081885159954,0.004780555746275533,6.426978538053525,0.0651635462921257
2025-01-01,-0.25,900,96,0.010546311449171829,0.0006911308233273229,0.02003193646439761,6.426978538053525,0.17033561447153325
2025-01-01,0.0,1,96,0.0,0.0,0.0,1.9457457330208896,0.0
2025-01-01,0.0,60,96,0.00021240623504057836,8.534226001776897e-06,0.00010492316659323209,1.9457457330208896,0.003430616167341125
2025-01-01,0.0,300,96,0.003420605105215706,0.00020872687298103586,0.0036268360192520006,1.9457457330208896,0.05524688657910361
2025-01-01,0.0,900,96,0.010711599919320143,0.0007676371286201225,0.01671010446700168,1.9457457330208896,0.17300522206463892
2025-01-01,0.25,1,96,0.0,0.0,0.0,6.367672205599584,0.0
2025-01-01,0.25,60,96,0.0006255852021143787,1.648859524696346e-05,0.0005749157690833236,6.367672205599584,0.010103953435849664
2025-01-01,0.25,300,96,0.0034224143416813485,0.00021090688261259585,0.00778755719854529,6.367672205599584,0.055276107923697526
2025-01-01,0.25,900,96,0.006330999568522433,0.00044436154821741195,0.01805830743957694,6.367672205599584,0.10225325763556692
2025-01-02,-0.25,1,96,0.0,0.0,0.0,5.622432555585329,0.0
2025-01-02,-0.25,60,96,0.0014824200962272206,5.9997168470397824e-05,0.0018434518254370827,5.622432555585329,0.02394286753414843
2025-01-02,-0.25,300,96,0.008737759018430918,0.0005288994277571868,0.013255022420335827,5.622432555585329,0.14112531748039478
2025-01-02,-0.25,900,96,0.021820143286572044,0.0015321958387324002,0.04874633400845258,5.622432555585329,0.3524215582373118
2025-01-02,0.0,1,96,0.0,0.0,0.0,1.9019414516227604,0.0
2025-01-02,0.0,60,96,2.858013872944626e-05,1.4050201172671185e-06,5.308107175837985e-05,1.9019414516227604,0.00046160361522920264
2025-01-02,0.0,300,96,0.0006146768762488183,4.690028037644615e-05,0.0020041541390882073,1.9019414516227604,0.009927770853514832
2025-01-02,0.0,900,96,0.0028929895133573895,0.00022726122785570176,0.014107551125447211,1.9019414516227604,0.04672526018138433
2025-01-02,0.25,1,96,0.0,0.0,0.0,7.337771529352754,0.0
2025-01-02,0.25,60,96,0.0003354182893720477,1.1805233726192881e-05,0.0004969794195313904,7.337771529352754,0.005417408796830534
2025-01-02,0.25,300,96,0.002127816767531921,8.2960619483518e-05,0.004725703804319248,7.337771529352754,0.03436680002483729
2025-01-02,0.25,900,96,0.0055658977546932005,0.0003759584654374919,0.014573072321705299,7.337771529352754,0.08989594311644523
2025-01-03,-0.25,1,96,0.0,0.0,0.0,6.18202929592488,0.0
2025-01-03,-0.25,60,96,0.0012874911075028486,3.739317580268897e-05,0.0003691963680687721,6.18202929592488,0.020794529915509303
2025-01-03,-0.25,300,96,0.009102832258363159,0.0004475441532028743,0.005157799411869415,6.18202929592488,0.14702168939675955
2025-01-03,-0.25,900,96,0.020420534041339193,0.0014102146841058207,0.032054530241499325,6.18202929592488,0.32981618554791736
2025-01-03,0.0,1,96,0.0,0.0,0.0,3.561039447437939,0.0
2025-01-03,0.0,60,96,0.0002940465409882809,1.522375149986679e-05,0.0003602504142226799,3.561039447437939,0.004749205301262683
2025-01-03,0.0,300,96,0.0032815787642386583,0.0001802931954332917,0.007126856558238378,3.561039447437939,0.053001443958570794
2025-01-03,0.0,900,96,0.009679947507522137,0.0007089986422445558,0.018455824897876855,3.561039447437939,0.1563427947951089
2025-01-03,0.25,1,96,0.0,0.0,0.0,7.776269586751759,0.0
2025-01-03,0.25,60,96,0.0006926243739716325,2.104159910495105e-05,0.0008020645186273684,7.776269586751759,0.011186716692752553
2025-01-03,0.25,300,96,0.0032664015633342564,9.040160469952346e-05,0.0023941036669960294,7.776269586751759,0.0527563139092575
2025-01-03,0.25,900,96,0.008711763956948169,0.0005490108010540788,0.018783011213719787,7.776269586751759,0.14070546597106715
2025-01-04,-0.25,1,96,0.0,0.0,0.0,6.021770441609316,0.0
2025-01-04,-0.25,60,96,0.00023759199839895433,1.45582839449955e-05,0.0007600084616697159,6.021770441609316,0.003837396538828197
2025-01-04,-0.25,300,96,0.001696087993409064,0.00010855355061189515,0.002721142311871469,6.021770441609316,0.027393861063047663
