period,capacity_mwh,reserve_mw,supply_mw,deficit_mwh,requested_mwh,hydrogen_energy_mwh,max_state_error,initial_inventory,terminal_inventory,deficit_pct,terminal_restoration_mwh,restored_hydrogen_energy_mwh
calibration,0.5,0.25,0.0,11.930053605033965,104.33515869615918,30.75040744787746,0.0,0.25,0.0359983074329265,11.434356121291968,0.22766137507135478,30.522746072806104
calibration,0.5,0.25,0.025,0.942849358608574,104.33515869615918,126.71338461121317,0.0,0.25,0.1115139304015952,0.9036736708804972,0.1473256059557498,126.56605900525743
calibration,0.5,0.25,0.05,0.11144184433192227,104.33515869615918,234.39691595799144,0.0,0.25,0.2137721709820047,0.10681140060989305,0.038540243636165206,234.35837571435528
calibration,0.5,0.25,0.1,1.6712253149239087e-10,104.33515869615918,451.4743772461394,0.0,0.25,0.2568853468003637,1.601785376864942e-10,-0.006472225992341858,451.48084947213175
calibration,0.5,0.25,0.2,1.6740104129271429e-10,104.33515869615918,885.7826885029433,0.0,0.25,0.2586629326208874,1.6044547531691893e-10,-0.008143156663634164,885.790831659607
calibration,0.5,0.25,0.4,1.6740104129271429e-10,104.33515869615918,1754.3826885029434,0.0,0.25,0.2586629326208874,1.6044547531691893e-10,-0.008143156663634164,1754.390831659607
calibration,0.5,0.5,0.0,33.01783995310896,208.67031739231837,69.25376075301091,0.0,0.25,0.071996614865853,15.822969153314002,0.18936530333419893,69.06439544967671
calibration,0.5,0.5,0.025,13.357090467286426,208.67031739231837,155.5080174189549,0.0,0.25,0.1338956773682827,6.401049576291165,0.12351523684225245,155.38450218211264
calibration,0.5,0.5,0.05,7.4878866097532315,208.67031739231837,257.6508838464367,0.0,0.25,0.1967129965072077,3.588381281691997,0.056688301588076924,257.5941955448487
calibration,0.5,0.5,0.1,3.4999534150691467,208.67031739231837,470.59983989180205,0.0,0.25,0.25332651960908,1.6772646243159393,-0.003126928432535182,470.6029668202346
calibration,0.5,0.5,0.2,1.4453509847973185,208.67031739231837,902.7938794085337,0.0,0.25,0.2666563305150448,0.69264809813843,-0.015656950684142093,902.8095363592179
calibration,0.5,0.5,0.4,1.2525841482437454,208.67031739231837,1771.194424311597,0.0,0.25,0.2680674881469986,0.6002694412395886,-0.016983438858178684,1771.2114077504552
calibration,0.5,0.75,0.0,62.838202983378565,313.00547608849115,105.91750146878853,0.0,0.25,0.1079949222987789,20.075751954452485,0.15106923159704375,105.76643223719148
calibration,0.5,0.75,0.025,39.760817330670136,313.00547608849115,187.50730168422444,0.0,0.25,0.1694194672141415,12.702914283655913,0.08572397104878564,187.42157771317565
calibration,0.5,0.75,0.05,29.694395159480482,313.00547608849115,284.541627387917,0.0,0.25,0.2306148606435389,9.486861230212295,0.020622488677086284,284.5210048992399
calibration,0.5,0.75,0.1,20.136947531013224,313.00547608849115,491.06552370736676,0.0,0.25,0.2698933475539586,6.433417006838634,-0.01869974670072109,491.0842234540675
calibration,0.5,0.75,0.2,13.873171071175154,313.00547608849115,918.7220584205176,0.0,0.25,0.2806631367275462,4.432245481626337,-0.02882334852389345,918.7508817690415
calibration,0.5,0.75,0.4,12.72054828120344,313.00547608849115,1786.1191861369703,0.0,0.25,0.2817583826891358,4.0640018315868565,-0.02985287972778763,1786.149039016698
calibration,1.0,0.25,0.0,8.670640612064654,104.33515869615918,27.348403587666176,0.0,0.5,0.2479717887283135,8.310372764481968,0.2681151183741346,27.080288469292043
calibration,1.0,0.25,0.025,0.0951966347720341,104.33515869615918,125.77763356495775,0.0,0.5,0.3615139304015537,0.09124118462239758,0.14732560595579391,125.63030795900195
calibration,1.0,0.25,0.05,3.370936960271588e-10,104.33515869615918,234.27309173626585,0.0,0.5,0.4637721709818707,3.230873468154968e-10,0.03854024363630779,234.23455149262955
calibration,1.0,0.25,0.1,3.349078396777217e-10,104.33515869615918,451.47437724614014,0.0,0.5,0.5068853468003681,3.209923134856462e-10,-0.006472225992346032,451.4808494721325
calibration,1.0,0.25,0.2,3.3554539083202146e-10,104.33515869615918,885.7826885029444,0.0,0.5,0.5086629326208928,3.216033741887371e-10,-0.008143156663639226,885.7908316596081
calibration,1.0,0.25,0.4,3.3554539083202146e-10,104.33515869615918,1754.3826885029443,0.0,0.5,0.5086629326208928,3.216033741887371e-10,-0.008143156663639226,1754.390831659608
calibration,1.0,0.5,0.0,23.860107210067934,208.67031739231837,61.50081489575493,0.0,0.5,0.071996614865853,11.43435612129197,0.45532275014270956,61.045492145612215
calibration,1.0,0.5,0.025,6.777680398666096,208.67031739231837,150.34716567412664,0.0,0.5,0.1338956773682827,3.2480328219961763,0.38947268365076315,149.9576929904759
calibration,1.0,0.5,0.05,1.8856987172171484,208.67031739231837,253.42676922242634,0.0,0.5,0.2230278608031905,0.9036736708804973,0.2946512119114995,253.13211801051486
calibration,1.0,0.5,0.1,0.22288368866384484,208.67031739231837,468.7938319159829,0.0,0.5,0.4275443419640095,0.1068114006098932,0.07708048727233034,468.71675142871055
calibration,1.0,0.5,0.2,3.342450629847817e-10,208.67031739231837,902.9487544922788,0.0,0.5,0.5137706936007274,1.6017853768649418e-10,-0.012944451984683716,902.9616989442635
calibration,1.0,0.5,0.4,3.3480208258542857e-10,208.67031739231837,1771.5653770058866,0.0,0.5,0.5173258652417749,1.6044547531691893e-10,-0.01628631332726843,1771.581663319214
calibration,1.0,0.75,0.0,44.76086575307967,313.00547608849115,98.20055672667716,0.0,0.5,0.1079949222987789,14.300345895681751,0.4170266784055544,97.78353004827161
calibration,1.0,0.75,0.025,22.747150950456792,313.00547608849115,181.52413560165755,0.0,0.5,0.1694194672141415,7.267333221999556,0.35168141785729634,181.17245418380026
calibration,1.0,0.75,0.05,11.752005101970452,313.00547608849115,277.6598700931215,0.0,0.5,0.2322611719702594,3.7545685298643114,0.2848285404571709,277.37504155266436
calibration,1.0,0.75,0.1,5.977964405475957,313.00547608849115,488.58608198229535,0.0,0.5,0.3578454708884673,1.90985936737602,0.15122822245907735,488.4348537598363
calibration,1.0,0.75,0.2,2.5741663782002275,313.00547608849115,919.3671618568607,0.0,0.5,0.4901094067264994,0.8224029848833934,0.010521907737766612,919.356639949123
calibration,1.0,0.75,0.4,2.063389347300523,313.00547608849115,1787.4658787442188,0.0,0.5,0.5103273427183412,0.6592182900714405,-0.009707702155240762,1787.475586446374
calibration,2.0,0.25,0.0,5.407456224023022,104.33515869615918,23.89087883943521,0.0,1.0,0.7479615622796519,5.1827747152524175,0.2681259975748384,23.622752841860372
calibration,2.0,0.25,0.025,6.39766296479921e-10,104.33515869615918,125.67356201065681,0.0,1.0,0.8615139304015179,6.131838054159899e-10,0.14732560595583202,125.52623640470098
calibration,2.0,0.25,0.05,6.661709558944658e-10,104.33515869615918,234.27309173626995,0.0,1.0,0.9637721709818492,6.384913429177435e-10,0.03854024363633064,234.2345514926336
calibration,2.0,0.25,0.1,6.708307258958919e-10,104.33515869615918,451.47437724614093,0.0,1.0,1.0068853468003385,6.429574980083743e-10,-0.006472225992318168,451.48084947213323
calibration,2.0,0.25,0.2,6.698891974367922e-10,104.33515869615918,885.7826885029461,0.0,1.0,1.00866293262091,6.420550903532122e-10,-0.008143156663655402,885.7908316596098
calibration,2.0,0.25,0.4,6.698891974367922e-10,104.33515869615918,1754.3826885029462,0.0,1.0,1.00866293262091,6.420550903532122e-10,-0.008143156663655402,1754.3908316596098
calibration,2.0,0.5,0.0,17.341281224129308,208.67031739231837,54.69680717533235,0.0,1.0,0.495943577456627,8.310372764481968,0.5362302367482692,54.160576938584086
calibration,2.0,0.5,0.025,3.5858657716221676,208.67031739231837,146.91585540727445,0.0,1.0,0.6135981553694092,1.7184359598593162,0.411065792160203,146.50478961511425
calibration,2.0,0.5,0.05,0.19039326954406843,208.67031739231837,251.5552671299155,0.0,1.0,0.7230278608031074,0.09124118462239768,0.29465121191158783,251.2606159180039
calibration,2.0,0.5,0.1,6.741873920543176e-10,208.67031739231837,468.5461834725317,0.0,1.0,0.9275443419637414,3.230873468154968e-10,0.07708048727261559,468.4691029852591
calibration,2.0,0.5,0.2,6.698156793554435e-10,208.67031739231837,902.9487544922803,0.0,1.0,1.0137706936007362,3.209923134856462e-10,-0.012944451984692063,902.961698944265
calibration,2.0,0.5,0.4,6.710907816640429e-10,208.67031739231837,1771.5653770058889,0.0,1.0,1.0173258652417856,3.216033741887371e-10,-0.01628631332727845,1771.5816633192162
calibration,2.0,0.75,0.0,31.38483480555688,313.00547608849115,87.33721008109173,0.0,1.0,0.2439200413858729,10.026928345714929,0.8043403815043906,86.53286969958734
calibration,2.0,0.75,0.025,13.347949840275124,313.00547608849115,174.7192118604465,0.0,1.0,0.3645592225050109,4.264446107166977,0.6760008271223288,174.04321103332418
calibration,2.0,0.75,0.05,4.448267398011024,313.00547608849115,273.0038224515099,0.0,1.0,0.4760176056443367,1.4211468289945939,0.5574280791017695,272.4463943724081
calibration,2.0,0.75,0.1,0.46011431931997143,313.00547608849115,485.750880165768,0.0,1.0,0.6892434759216691,0.14699880815819674,0.33059204689184135,485.42028811887616
calibration,2.0,0.75,0.2,0.11518720111790545,313.00547608849115,919.7691996681008,0.0,1.0,0.982063543406512,0.0368003788807006,0.01908133680158295,919.7501183312992
calibration,2.0,0.75,0.4,0.11518720112228313,313.00547608849115,1788.419993306637,0.0,1.0,1.01032734271837,0.036800378882099194,-0.009707702155267896,1788.4297010087923
calibration,4.0,0.25,0.0,3.297343952464622,104.33515869615918,21.65957468082175,0.0,2.0,1.7479615622796056,3.1603382729948395,0.26812599757488764,21.39144868324686
