period,capacity_mwh,reserve_mw,supply_mw,model,native_deficit_mwh,predicted_deficit_mwh,requested_reserve_mwh,hydrogen_energy_mwh,baseline_charge_mwh,maximum_state_error_mwh,initial_inventory_mwh,terminal_inventory_mwh,hours,native_deficit_pct,predicted_deficit_pct,terminal_restoration_mwh,restored_hydrogen_energy_mwh,restored_hydrogen_change_mwh
calibration,0.25,0.25,0.25,5minute,0.6262920741218723,0.6048303939823528,104.33515869615918,1102.7472121557985,-16.997212155798465,0.0021813225404122,0.125,0.1340337440734993,4343.0,0.6002694412395881,0.5796995006675713,-0.008491719429089342,1102.7557038752275,17.005703875227482
calibration,0.25,0.25,0.25,envelope,0.6262920741218723,0.6262920740394641,104.33515869615918,1102.7472121557985,-16.997212155798465,1.2490009027033011e-14,0.125,0.1340337440734993,4343.0,0.6002694412395881,0.600269441160604,-0.008491719429089342,1102.7557038752275,17.005703875227482
calibration,0.25,0.25,0.25,gross,0.6262920741218723,0.0,104.33515869615918,1102.7472121557985,-16.997212155798465,0.0100727384859593,0.125,0.1340337440734993,4343.0,0.6002694412395881,,-0.008491719429089342,1102.7557038752275,17.005703875227482
calibration,0.25,0.25,0.25,minute,0.6262920741218723,0.6229253857994251,104.33515869615918,1102.7472121557985,-16.997212155798465,0.0005044028469197,0.125,0.1340337440734993,4343.0,0.6002694412395881,0.5970426398770182,-0.008491719429089342,1102.7557038752275,17.005703875227482
calibration,0.25,0.25,0.25,native,0.6262920741218723,0.6262920741218723,104.33515869615918,1102.7472121557985,-16.997212155798465,0.0,0.125,0.1340337440734993,4343.0,0.6002694412395881,0.6002694412395881,-0.008491719429089342,1102.7557038752275,17.005703875227482
calibration,0.25,0.25,0.25,quarter,0.6262920741218723,0.5521162758467854,104.33515869615918,1102.7472121557985,-16.997212155798465,0.011399658766364,0.125,0.1340337440734993,4343.0,0.6002694412395881,0.5291756707387939,-0.008491719429089342,1102.7557038752275,17.005703875227482
calibration,0.25,0.25,0.5,5minute,0.6262920741218723,0.6048303939823528,104.33515869615918,2188.4972121557985,-16.997212155798465,0.0021813225404122,0.125,0.1340337440734993,4343.0,0.6002694412395881,0.5796995006675713,-0.008491719429089342,2188.5057038752275,17.005703875227482
calibration,0.25,0.25,0.5,envelope,0.6262920741218723,0.6262920740394641,104.33515869615918,2188.4972121557985,-16.997212155798465,1.2490009027033011e-14,0.125,0.1340337440734993,4343.0,0.6002694412395881,0.600269441160604,-0.008491719429089342,2188.5057038752275,17.005703875227482
calibration,0.25,0.25,0.5,gross,0.6262920741218723,0.0,104.33515869615918,2188.4972121557985,-16.997212155798465,0.0100727384859593,0.125,0.1340337440734993,4343.0,0.6002694412395881,,-0.008491719429089342,2188.5057038752275,17.005703875227482
calibration,0.25,0.25,0.5,minute,0.6262920741218723,0.6229253857994251,104.33515869615918,2188.4972121557985,-16.997212155798465,0.0005044028469197,0.125,0.1340337440734993,4343.0,0.6002694412395881,0.5970426398770182,-0.008491719429089342,2188.5057038752275,17.005703875227482
calibration,0.25,0.25,0.5,native,0.6262920741218723,0.6262920741218723,104.33515869615918,2188.4972121557985,-16.997212155798465,0.0,0.125,0.1340337440734993,4343.0,0.6002694412395881,0.6002694412395881,-0.008491719429089342,2188.5057038752275,17.005703875227482
