period,capacity_mwh,reserve_mw,supply_mw,model,native_deficit_mwh,predicted_deficit_mwh,requested_reserve_mwh,hydrogen_energy_mwh,baseline_charge_mwh,maximum_state_error_mwh,initial_inventory_mwh,terminal_inventory_mwh,hours,native_deficit_pct,predicted_deficit_pct,terminal_restoration_mwh,restored_hydrogen_energy_mwh,restored_hydrogen_change_mwh
calibration,0.25,0.25,0.25,5minute,0.7666667283077799,0.6110782607599589,104.33515869615918,1103.344963805213,-17.594963805213037,0.077891454637001,0.125,0.1341375778351311,4343.0,0.7348114843438703,0.5856877666132827,-0.008589323165023244,1103.353553128378,17.603553128378053
calibration,0.25,0.25,0.25,envelope,0.6262920741217548,0.626292074039471,104.33515869615918,1102.7472121557985,-16.997212155798437,3.180372631916839e-13,0.125,0.1340337440735013,4343.0,0.6002694412394756,0.6002694411606107,-0.008491719429091221,1102.7557038752275,17.005703875227482
calibration,0.25,0.25,0.25,gross,0.6288501877442956,0.0,104.33515869615918,1102.773626944299,-17.02362694429901,0.0100727384859984,0.125,0.1360454336470843,4343.0,0.6027212644355185,,-0.010382707628259238,1102.7840096519271,17.034009651927136
calibration,0.25,0.25,0.25,minute,0.6208047671663235,0.6240379107395527,104.33515869615918,1102.876008758203,-17.12600875820298,0.0209688808670957,0.125,0.1340021548291268,4343.0,0.5950101336158476,0.5981089390555794,-0.008462025539379199,1102.8844707837422,17.134470783742245
calibration,0.25,0.25,0.25,native,0.6262920741218723,0.6262920741218723,104.33515869615918,1102.7472121557985,-16.997212155798465,0.0,0.125,0.1340337440734993,4343.0,0.6002694412395881,0.6002694412395881,-0.008491719429089342,1102.7557038752275,17.005703875227482
calibration,0.25,0.25,0.25,quarter,1.5020114633762147,0.5654457046483655,104.33515869615918,1104.2603045575736,-18.51030455757355,0.119105336770822,0.125,0.1360017984144924,4343.0,1.439602414129943,0.5419512575765899,-0.010341690509622848,1104.2706462480833,18.520646248083267
calibration,0.25,0.25,0.5,5minute,0.7666667283077799,0.6110782607599589,104.33515869615918,2189.094963805213,-17.594963805213037,0.077891454637001,0.125,0.1341375778351311,4343.0,0.7348114843438703,0.5856877666132827,-0.008589323165023244,2189.103553128378,17.603553128377825
calibration,0.25,0.25,0.5,envelope,0.6262920741217548,0.626292074039471,104.33515869615918,2188.4972121557985,-16.997212155798437,3.180372631916839e-13,0.125,0.1340337440735013,4343.0,0.6002694412394756,0.6002694411606107,-0.008491719429091221,2188.5057038752275,17.005703875227482
calibration,0.25,0.25,0.5,gross,0.6288501877442956,0.0,104.33515869615918,2188.523626944299,-17.02362694429901,0.0100727384859984,0.125,0.1360454336470843,4343.0,0.6027212644355185,,-0.010382707628259238,2188.534009651927,17.034009651927136
calibration,0.25,0.25,0.5,minute,0.6208047671663235,0.6240379107395527,104.33515869615918,2188.626008758203,-17.12600875820298,0.0209688808670957,0.125,0.1340021548291268,4343.0,0.5950101336158476,0.5981089390555794,-0.008462025539379199,2188.6344707837425,17.134470783742472
