period,capacity_mwh,eta,horizon_hours,measured_feedback,model,deficit_mwh,requested_mwh,hydrogen_energy_mwh,max_state_error,initial_inventory,terminal_inventory,deficit_pct,terminal_restoration_mwh,restored_hydrogen_energy_mwh
calibration,0.5,0.9,1.0,False,5minute,12.130710096153996,313.00547608849115,2209.7664752329797,0.1139535597568075,0.25,0.2789989628107064,3.875558424008042,-0.026099066529635766,2209.7925742995094
calibration,0.5,0.9,1.0,False,envelope,12.437554032057195,313.00547608849115,2206.921702698161,4.551359289450829e-13,0.25,0.2788242725491384,3.9735899152578784,-0.02594184529422455,2206.947644543455
calibration,0.5,0.9,1.0,False,gross,12.122219724553123,313.00547608849115,2207.0266550865877,0.0349778738883007,0.25,0.2855742106729377,3.872845892678886,-0.032016789605643935,2207.0586718761933
calibration,0.5,0.9,1.0,False,minute,12.322531318978385,313.00547608849115,2207.53837578963,0.0264009762083873,0.25,0.2786514571540875,3.9368420875469377,-0.025786311438678763,2207.564162101069
calibration,0.5,0.9,1.0,False,native,12.437554032055793,313.00547608849115,2206.921702698162,0.0,0.25,0.2788242725491269,3.9735899152574308,-0.025941845294214207,2206.947644543456
calibration,0.5,0.9,1.0,False,quarter,13.529819048033701,313.00547608849115,2214.0513791289122,0.2905385939627822,0.25,0.2841971445147329,4.322550268803804,-0.030777430063259593,2214.0821565589754
calibration,0.5,0.9,1.0,True,5minute,12.437554032055793,313.00547608849115,2206.921702698162,0.011056822694534,0.25,0.2788242725491269,3.9735899152574308,-0.025941845294214207,2206.947644543456
calibration,0.5,0.9,1.0,True,envelope,12.437554032055793,313.00547608849115,2206.921702698162,2.4535928844215963e-14,0.25,0.2788242725491269,3.9735899152574308,-0.025941845294214207,2206.947644543456
calibration,0.5,0.9,1.0,True,gross,12.437554032055793,313.00547608849115,2206.921702698162,0.0323727284758816,0.25,0.2788242725491269,3.9735899152574308,-0.025941845294214207,2206.947644543456
calibration,0.5,0.9,1.0,True,minute,12.437554032055793,313.00547608849115,2206.921702698162,0.0024952214632667,0.25,0.2788242725491269,3.9735899152574308,-0.025941845294214207,2206.947644543456
calibration,0.5,0.9,1.0,True,native,12.437554032055793,313.00547608849115,2206.921702698162,0.0,0.25,0.2788242725491269,3.9735899152574308,-0.025941845294214207,2206.947644543456
calibration,0.5,0.9,1.0,True,quarter,12.437554032055793,313.00547608849115,2206.921702698162,0.0389969777721297,0.25,0.2788242725491269,3.9735899152574308,-0.025941845294214207,2206.947644543456
calibration,0.5,0.94,0.25,False,5minute,6.052744034062753,313.00547608849115,2223.6408610766034,0.1624037813827009,0.25,0.2638406928880314,1.9337502045336596,-0.013010251314749529,2223.6538713279183
calibration,0.5,0.94,0.25,False,envelope,5.919164233508146,313.00547608849115,2221.770281572258,3.292921491038215e-13,0.25,0.2635299275192541,1.8910736986067018,-0.012718131868098836,2221.7829997041263
calibration,0.5,0.94,0.25,False,gross,5.894731472828827,313.00547608849115,2221.8289879903436,0.0366319629404013,0.25,0.2710870646493327,1.883267841346744,-0.019821840770372724,2221.848809831114
calibration,0.5,0.94,0.25,False,minute,5.930736829589961,313.00547608849115,2222.193177913425,0.0699058369942661,0.25,0.2633981739081124,1.8947709489636073,-0.012594283473625633,2222.205772196899
calibration,0.5,0.94,0.25,False,native,5.9191642335075585,313.00547608849115,2221.7702815722578,0.0,0.25,0.2635299275192743,1.8910736986065144,-0.01271813186811783,2221.782999704126
calibration,0.5,0.94,0.25,False,quarter,7.719126296052063,313.00547608849115,2226.61855326337,0.2677506341814368,0.25,0.2689283084612787,2.4661313893018777,-0.017792609953601966,2226.6363458733235
calibration,0.5,0.94,0.25,True,5minute,5.9191642335075585,313.00547608849115,2221.7702815722578,0.0101948097011183,0.25,0.2635299275192743,1.8910736986065144,-0.01271813186811783,2221.782999704126
calibration,0.5,0.94,0.25,True,envelope,5.9191642335075585,313.00547608849115,2221.7702815722578,2.4535928844215963e-14,0.25,0.2635299275192743,1.8910736986065144,-0.01271813186811783,2221.782999704126
calibration,0.5,0.94,0.25,True,gross,5.9191642335075585,313.00547608849115,2221.7702815722578,0.0338819232756246,0.25,0.2635299275192743,1.8910736986065144,-0.01271813186811783,2221.782999704126
calibration,0.5,0.94,0.25,True,minute,5.9191642335075585,313.00547608849115,2221.7702815722578,0.00238904182654,0.25,0.2635299275192743,1.8910736986065144,-0.01271813186811783,2221.782999704126
calibration,0.5,0.94,0.25,True,native,5.9191642335075585,313.00547608849115,2221.7702815722578,0.0,0.25,0.2635299275192743,1.8910736986065144,-0.01271813186811783,2221.782999704126
